scheme,resolution_deg,task,model,fidelity_regions,median_absolute_gain_drift,max_absolute_gain_drift,median_relative_gain_drift,cost_regions,total_wall_s,total_compute_s,total_processed_points,total_point_hours,max_peak_rss_mb,resolution_cached_regions,relationship,countries,correlation,era,era_label,source_summary
uniform,0.5,regression,LightGBM,19,0.0047070523918848,0.0690340033142236,0.0106756497769138,19,28.029430166003294,20.703632583026774,3415,119743560,689.84375,19,without_lithuania,15,0.4933817191399652,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,1.0,classification,LogReg,19,0.0012452506613118,0.0102856734512007,0.0115237677710281,19,24.55944824888138,17.5504872079473,918,32188752,689.84375,19,all_europe,10,0.7976855695831286,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,1.0,classification,LogReg,19,0.0012452506613118,0.0102856734512007,0.0115237677710281,19,24.55944824888138,17.5504872079473,918,32188752,689.84375,19,without_lithuania,9,0.7989910494696176,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,1.0,classification,RandForest,19,0.0017587492602907,0.0868003025718609,0.0181731419363899,19,24.55944824888138,17.5504872079473,918,32188752,689.84375,19,all_europe,10,0.7105355651328185,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,1.0,classification,RandForest,19,0.0017587492602907,0.0868003025718609,0.0181731419363899,19,24.55944824888138,17.5504872079473,918,32188752,689.84375,19,without_lithuania,9,0.7476103032062096,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,1.0,regression,GradientBoosting,19,0.0063818396615752,0.136121136670418,0.0282273214903127,19,24.55944824888138,17.5504872079473,918,32188752,689.84375,19,all_europe,16,0.4866976125676331,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,1.0,regression,GradientBoosting,19,0.0063818396615752,0.136121136670418,0.0282273214903127,19,24.55944824888138,17.5504872079473,918,32188752,689.84375,19,without_lithuania,15,0.491879468717019,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,1.0,regression,LightGBM,19,0.0058613432008756,0.0407013040678466,0.0266551638343784,19,24.55944824888138,17.5504872079473,918,32188752,689.84375,19,all_europe,16,0.4983954161417703,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,1.0,regression,LightGBM,19,0.0058613432008756,0.0407013040678466,0.0266551638343784,19,24.55944824888138,17.5504872079473,918,32188752,689.84375,19,without_lithuania,15,0.503806621237402,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,2.0,classification,LogReg,19,0.0031324639090273,0.0229915424516798,0.0239158111138061,19,24.63941120711388,16.9306076670764,266,9327024,681.40625,19,all_europe,10,0.8009396666780807,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,2.0,classification,LogReg,19,0.0031324639090273,0.0229915424516798,0.0239158111138061,19,24.63941120711388,16.9306076670764,266,9327024,681.40625,19,without_lithuania,9,0.8023050218549512,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,2.0,classification,RandForest,19,0.0081860759258422,0.0348798204242222,0.0545365703116978,19,24.63941120711388,16.9306076670764,266,9327024,681.40625,19,all_europe,10,0.7138698062178296,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,2.0,classification,RandForest,19,0.0081860759258422,0.0348798204242222,0.0545365703116978,19,24.63941120711388,16.9306076670764,266,9327024,681.40625,19,without_lithuania,9,0.750888867826879,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,2.0,regression,GradientBoosting,19,0.0151699374726506,0.095585811180192,0.0601154910149945,19,24.63941120711388,16.9306076670764,266,9327024,681.40625,19,all_europe,16,0.5018881301688264,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,2.0,regression,GradientBoosting,19,0.0151699374726506,0.095585811180192,0.0601154910149945,19,24.63941120711388,16.9306076670764,266,9327024,681.40625,19,without_lithuania,15,0.5060907196293213,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,2.0,regression,LightGBM,19,0.0153421447330068,0.0979335956012877,0.0581337285002731,19,24.63941120711388,16.9306076670764,266,9327024,681.40625,19,all_europe,16,0.4904640847779764,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
uniform,2.0,regression,LightGBM,19,0.0153421447330068,0.0979335956012877,0.0581337285002731,19,24.63941120711388,16.9306076670764,266,9327024,681.40625,19,without_lithuania,15,0.4935976190512484,pre,Pre-COVID (2016-2019),results/covid_era_spatial_resolution/pre/resolution_summary.csv
capacity,0.25,classification,LogReg,19,0.0,0.0,0.0,19,16.00544587505283,12.530880249978509,13172,231089568,659.890625,19,all_europe,11,0.431221166390548,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.25,classification,LogReg,19,0.0,0.0,0.0,19,16.00544587505283,12.530880249978509,13172,231089568,659.890625,19,without_lithuania,10,0.4246026221573869,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.25,classification,RandForest,19,0.0,0.0,0.0,19,16.00544587505283,12.530880249978509,13172,231089568,659.890625,19,all_europe,11,0.4505027409366078,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.25,classification,RandForest,19,0.0,0.0,0.0,19,16.00544587505283,12.530880249978509,13172,231089568,659.890625,19,without_lithuania,10,0.5097402215693968,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,16.00544587505283,12.530880249978509,13172,231089568,659.890625,19,all_europe,16,0.596615752089096,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.25,regression,GradientBoosting,19,0.0,0.0,0.0,19,16.00544587505283,12.530880249978509,13172,231089568,659.890625,19,without_lithuania,15,0.6190117301486426,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,16.00544587505283,12.530880249978509,13172,231089568,659.890625,19,all_europe,16,0.6040264767910629,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.25,regression,LightGBM,19,0.0,0.0,0.0,19,16.00544587505283,12.530880249978509,13172,231089568,659.890625,19,without_lithuania,15,0.6286030266173455,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.5,classification,LogReg,19,0.0006482709038486,0.0161800956708284,0.0041470868236534,19,11.946527999010868,8.597337082901504,3415,59912760,616.546875,19,all_europe,11,0.4215347301415193,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
capacity,0.5,classification,LogReg,19,0.0006482709038486,0.0161800956708284,0.0041470868236534,19,11.946527999010868,8.597337082901504,3415,59912760,616.546875,19,without_lithuania,10,0.4147704531247205,covid,COVID (2020-2021),results/covid_era_spatial_resolution/covid/resolution_summary.csv
